Topic 0,Topic 1,Topic 2
fácil (0.3039),fácil (0.6589),buen (0.5553)
cápsulas (0.3026),usar (0.5428),precio (0.4587)
usar (0.2807),limpiar (0.1171),calidad (0.3837)
precio (0.2198),facil (0.0466),producto (0.2057)
buen (0.2085),práctica (0.0353),relación (0.0595)
funciona (0.1836),cómoda (0.0329),cumple (0.0290)
calidad (0.1678),ocupa (0.0278),excelente (0.0289)
sale (0.1642),practica (0.0243),recomendada (0.0149)
gusta (0.1431),espacio (0.0226),materiales (0.0121)
bueno (0.1264),manejo (0.0194),compra (0.0106)
