title,rating,body,author,date
Como uma princesa,"5,0 de 5 estrellas",Excelente máquina de café… estou adorar …,Tita Pinho,Revisado en España el 2 de abril de 2024
"Buena, pero mejorable","4,0 de 5 estrellas",Está muy bien el poder tener varias opciones de cápsulas. Es muy compacta. Pero cuando la usas siempre cae alguna gota después del uso. Por el resto muy bien.,Jose,Revisado en España el 17 de febrero de 2024
Sirve para los tipos de cápsulas que dice,"4,0 de 5 estrellas",No salen bien los productos,Cliente de Amazon,Revisado en España el 6 de febrero de 2024
"Hace un buen cafe, asta con café molido, la mejor,","5,0 de 5 estrellas","Puedes usar capsulas, diferentes, cafe molido, e te hace un cafe con spuma, el problema es la taza, es que tener taza pequeñas, si non perfecta,",MARTINE,Revisado en España el 18 de agosto de 2023
Muy buen elección,"5,0 de 5 estrellas","Hola! Hace una semana que compré esta cafetera y estoy super contenta.
Es compacta, perfecta para cocinas pequeñas. La conectas y en solo 30 segundos ya está operativa.
Y lo mejor de todo, es que no te tienes que preocupar por las cápsulas. Acepta formato nespresso, dolce gusto...así que siempre tienes en casa cápsulas compatibles, y cada miembro de la familia puede escoger aquel que más le guste.",Cliente Amazon,Revisado en España el 22 de mayo de 2023
muy práctica y buen sabor,"5,0 de 5 estrellas","Cafetera muy práctica, la usamos en la oficina y así todo el mundo puede usar el tipo de cápsulas que prefiera. También funciona con café molido. Hace espuma y está rico.",mireya,Revisado en España el 22 de mayo de 2023
Práctica y buen café,"5,0 de 5 estrellas","Es una cafetera práctica, ocupa espacio pero el necesario. El café sale muy bueno y se limpia fácilmente",Ann,Revisado en España el 17 de mayo de 2023
Excelente cafetera,"5,0 de 5 estrellas","Me encanta mi nueva cafetera. Tengo una cocina pequeña y es genial porque ocupa poco espacio.
Es muy fácil de usar y en un momento tienes un buen café para empezar el día.
La opción multicapsula totalmente un plus.
Muy recomendable.",Raquel,Revisado en España el 15 de mayo de 2023
Muy muy mala nada recomendable,"1,0 de 5 estrellas","El sistema de cambiar cabezales se bloquea, con cápsulas sale el agua por todos lados .
La palanca de cierre al bloquearse se ha roto
Nos ha durado 1 semana .
Nada recomendable",Valgon,Revisado en España el 9 de mayo de 2023
CAFETERA MUY RECOMENDABLE,"5,0 de 5 estrellas",Cafetera muy recomendable. La posibilidad de utilización de capsulas de diferentes tamaños y marcas va muy bien. De mucha calidad. Nos llegó muy rápido,Cliente Amazon,Revisado en España el 13 de abril de 2023
IDEa is good but not enough water comes out,"3,0 de 5 estrellas",Sadly the espresso and normal coffee button gave me little coffee,Karina cheung,Revisado en Alemania el 14 de julio de 2024
Il caffè come il bar lo fa solo con le capsule compatibili nescafe,"3,0 de 5 estrellas","Con le cialde esce caffè com
e moka",Elena Musto,Revisado en Italia el 22 de junio de 2024
Buona,"4,0 de 5 estrellas",Buon rapporto qualità prezzo buona qualità del caffè,Antonio,Revisado en Italia el 11 de junio de 2024
Caffè,"5,0 de 5 estrellas",Ottimo prodotto la sto usando da circa una settimana con le cialde ese e devo dire che nemmeno nei bar si riesce a trovare un caffè così buono non l’ho ancora usata con le capsule buon rapporto qualità prezzo là coniglio,Marco L.,Revisado en Italia el 23 de abril de 2024
Kaffeemaschine,"5,0 de 5 estrellas",Sehr gut verarbeitet Sehr platzsparend durch die schmale Form der Kaffee ist auch heiß genug Sehr gut,Michael Krutwig,Revisado en Alemania el 21 de abril de 2024
Macchinetta per caffè,"4,0 de 5 estrellas","Innanzitutto non è ingombrante ed è come nella descrizione del prodotto. Fino ad ora, funziona molto bene con tutti gli adattatori, basta trovare la miscela che più si gradisce. Unico ""difetto"" che ho riscontrato è che quando selezioni il caffè corto, se lo lasci staccare automaticamente, viene molto lungo. Quindi basta staccarlo all'altezza che uno desidera.",Giorgio,Revisado en Italia el 17 de marzo de 2024
facilita d'uso,"5,0 de 5 estrellas",promette quello che descrive ottimo prodotto,Cliente Amazon,Revisado en Italia el 26 de febrero de 2024
Mai più senza caffè,"5,0 de 5 estrellas","Ero alla ricerca di una macchina per caffè con sistema a cialde quando mi sono imbattuta in questo modello che ha catturato la mia attenzione. La macchina in sé appare piccola e compatta quindi ben adattabile in ogni angolo della cucina. Quello che più mi è piaciuto è che la macchina viene fornita con tre distinti carrellini: uno per capsule Nespresso e compatibili, uno per capsule Dolce Gusto e compatibili ed uno per cialde. Questo permette di poter approfittare di qualsiasi offerta di caffè in diversi formati. Il suo utilizzo è semplicissimo basta, dopo aver acceso la macchina, selezionare il tipo di caffè, lungo o corto, ed è fatta essendo lo spegnimento automatico. Soddisfattissima di questa scelta.",Cliente Amazon,Revisado en Italia el 2 de enero de 2024
Ottimo acquisto,"5,0 de 5 estrellas","Si presenta bene, ottimi materiali, assemblato bene, funziona alla perfezione",Cacciola Fabrizio,Revisado en Italia el 23 de noviembre de 2023
Buse Dolce Gusto,"3,0 de 5 estrellas","Tout est bien, mais un peu compliqué pour les dosettes simple, par contre on regrette que les ingénieurs n'est pas respectés la sortie par la buse des doses directement et non par la buse plastique qui ne donne pas la même finesse aux cafés ou thés !!!!",Terrisse Hervé,Revisado en Francia el 22 de febrero de 2023
