title,rating,body,author,date,processed_body
El Vendedor Markenet se limpia las manos,"1,0 de 5 estrellas",Hola. La cafetera desde un principio me llegó defectuosa (con el cable de alimentación erróneo y el deposito del agua roto) y se ha desentendido del problema sin darme alguna solución.,Mercedes,Revisado en España el 13 de marzo de 2024,"['hola', 'principio', 'llegó', 'defectuosa', 'cable', 'alimentación', 'erróneo', 'deposito', 'roto', 'desentendido', 'problema', 'darme', 'alguna', 'solución']"
Fatal,"1,0 de 5 estrellas","Nos la vendieron como una cafeters top.
Hace un café aguado...
No la recomiendo para nada.
Decepció total.
Las sencillas hacen són mucho mejor.",RAQUEL,Revisado en España el 6 de febrero de 2024,"['vendieron', 'cafeters', 'top', 'aguado', 'recomiendo', 'decepció', 'total', 'sencillas', 'hacen', 'són', 'mejor']"
Cápsulas muy ricas pero muy caras,"1,0 de 5 estrellas",El depósito de agua es duro y se rompe con mucha facilidad con lo que tienes que encargarlo porque no se encuentra más que en Nespresso y hasta que no te lo traen te quedas sin cafetera,maria,Revisado en España el 21 de enero de 2023,"['depósito', 'duro', 'rompe', 'mucha', 'facilidad', 'encargarlo', 'encuentra', 'nespresso', 'traen', 'quedas']"
Muy buena,"5,0 de 5 estrellas",Bonita cafetera... Pequeña... pero hace un café excelente y esto es lo que importa. Lavazza nunca me decepciona ... Muy contenta de la compra. La cafetera me ha llegado en un día con Amazon Prime.,maria giovanna,Revisado en España el 19 de noviembre de 2019,"['bonita', 'pequeña', 'excelente', 'importa', 'lavazza', 'nunca', 'decepciona', 'contenta', 'compra', 'llegado', 'día', 'prime']"
He recibido la cafetera “LAVAZZA. A MODO MÍO” Modelo Jolie.,"1,0 de 5 estrellas","Al usarla la encuentro extraordinariamente pequeña, solo para una taza pequeña. Ruego me informen cómo hago para cambiarla a otra de mayor capacidad. Espero sus noticias.",Isidoro,Revisado en España el 13 de noviembre de 2019,"['usarla', 'encuentro', 'extraordinariamente', 'pequeña', 'solo', 'taza', 'pequeña', 'ruego', 'informen', 'cómo', 'hago', 'cambiarla', 'mayor', 'capacidad', 'espero', 'noticias']"
El cafè.,"5,0 de 5 estrellas","Cafetera pequeña y muy pràctica, cafè extraordinario.",Joana,Revisado en España el 2 de septiembre de 2019,"['pequeña', 'pràctica', 'cafè', 'extraordinario']"
Mala,"1,0 de 5 estrellas",Después de una semana esperándola viene con la caja rota y la cafetera no se enchufa,Pedro cano,Revisado en España el 8 de abril de 2019,"['después', 'semana', 'esperándola', 'viene', 'caja', 'rota', 'enchufa']"
Excelente calidad,"5,0 de 5 estrellas","Muy buena máquina. Pequeña, hermoso diseño y silenciosa. El café Lavazza a modo mio es de excelente calidad. Sai con la temperatura y la espuma ideal. Superior al Nespresso. Muy satisfecho.",Lobo,Revisado en España el 29 de marzo de 2019,"['buena', 'pequeña', 'hermoso', 'diseño', 'silenciosa', 'lavazza', 'modo', 'mio', 'excelente', 'calidad', 'sai', 'temperatura', 'espuma', 'ideal', 'superior', 'nespresso', 'satisfecho']"
Buen diseño,"4,0 de 5 estrellas",Diseño con estilo. Fácil de usar y vino con instrucciones buenas. Ocupa mucho menos espacio que la máquina que tenía antes. Pero un tamaño más pequeño significa que hay que vaciar las cápsulas antes (solo caben 5 más o menos).,Jennifer R.,Revisado en España el 21 de marzo de 2019,"['diseño', 'estilo', 'fácil', 'usar', 'vino', 'instrucciones', 'buenas', 'ocupa', 'menos', 'espacio', 'tamaño', 'pequeño', 'significa', 'vaciar', 'cápsulas', 'solo', 'caben', 'menos']"
La relación calidad precio es extraordinariamente buena. ¡Vale más de lo que cuesta!,"5,0 de 5 estrellas","De todas las máquinas de café que he comprado en mi vida, sin lugar a dudas que esta es la mejor en todos aspectos, compacta, ligera, facilidad de uso y un diseño ""made in Italia"" espectacular",Andreu Cruz,Revisado en España el 15 de diciembre de 2018,"['toda', 'máquinas', 'comprado', 'vida', 'lugar', 'dudas', 'mejor', 'aspectos', 'compacta', 'ligera', 'facilidad', 'uso', 'diseño', 'made', 'in', 'italia', 'espectacular']"
Muy satisfecho,"5,0 de 5 estrellas","Muy buen cafe, silenciosa y facil de utilisar y mantener, mejor que las de nescafe(en mi opinion).",Grama Eugeniu,Revisado en España el 28 de septiembre de 2018,"['buen', 'silenciosa', 'facil', 'utilisar', 'mantener', 'mejor', 'nescafe', 'opinion']"
Petra,"1,0 de 5 estrellas","La cafetera no calienta el agua y por tanto no hace el café. Era un regalo y hasta ahora no la habían usado.
Espero solución",Petra,Revisado en España el 2 de junio de 2018,"['calienta', 'regalo', 'ahora', 'usado', 'espero', 'solución']"
Cafetera que por el precio no está mal,"4,0 de 5 estrellas","Buen precio y la verdad para hacer un café rápido, se puede decir que va bastante bien. Cápsulas más caras pero buenas.",Jose Antonio Fernández Herraez,Revisado en España el 21 de mayo de 2018,"['buen', 'precio', 'verdad', 'hacer', 'rápido', 'puede', 'decir', 'va', 'bastante', 'cápsulas', 'caras', 'buenas']"
