Topic 0,Topic 1,Topic 2,Topic 3
cápsulas (0.0151),funciona (0.0171),cápsulas (0.0274),cápsulas (0.0153)
años (0.0084),caja (0.0134),fácil (0.0248),buena (0.0105)
uso (0.0082),producto (0.0130),usar (0.0225),cápsula (0.0097)
ruido (0.0081),sale (0.0110),precio (0.0180),capsulas (0.0096)
depósito (0.0078),cápsulas (0.0092),buen (0.0137),hacer (0.0087)
modelo (0.0075),vez (0.0081),gusta (0.0107),calidad (0.0084)
plástico (0.0073),después (0.0062),bueno (0.0106),depósito (0.0075)
menos (0.0070),llegó (0.0061),sale (0.0100),nespresso (0.0069)
cápsula (0.0068),mal (0.0060),cafés (0.0098),ma (0.0065)
hacer (0.0067),servicio (0.0058),marca (0.0097),solo (0.0058)
